Country.Name,Indicator.Code,Value,Year
Argentina,PUBS.TOTL,140,2014
Bolivia,PUBS.TOTL,17,2014
Brazil,PUBS.TOTL,298,2014
Chile,PUBS.TOTL,106,2014
Colombia,PUBS.TOTL,31,2014
Costa Rica,PUBS.TOTL,25,2014
Cuba,PUBS.TOTL,2,2014
Ecuador,PUBS.TOTL,30,2014
El Salvador,PUBS.TOTL,0,2014
Guatemala,PUBS.TOTL,0,2014
Honduras,PUBS.TOTL,0,2014
Mexico,PUBS.TOTL,152,2014
Nicaragua,PUBS.TOTL,2,2014
Panama,PUBS.TOTL,49,2014
Paraguay,PUBS.TOTL,0,2014
Peru,PUBS.TOTL,30,2014
Uruguay,PUBS.TOTL,20,2014
Venezuela,PUBS.TOTL,11,2014
Canada,PUBS.TOTL,765,2014
United States,PUBS.TOTL,3267,2014
Argentina,PUBS.TOTL,58,1990
Bolivia,PUBS.TOTL,0,1990
Brazil,PUBS.TOTL,98,1990
Chile,PUBS.TOTL,87,1990
Colombia,PUBS.TOTL,20,1990
Costa Rica,PUBS.TOTL,39,1990
Cuba,PUBS.TOTL,0,1990
Ecuador,PUBS.TOTL,6,1990
El Salvador,PUBS.TOTL,0,1990
Guatemala,PUBS.TOTL,2,1990
Honduras,PUBS.TOTL,3,1990
Mexico,PUBS.TOTL,104,1990
Nicaragua,PUBS.TOTL,2,1990
Panama,PUBS.TOTL,84,1990
Paraguay,PUBS.TOTL,2,1990
Peru,PUBS.TOTL,17,1990
Uruguay,PUBS.TOTL,0,1990
Venezuela,PUBS.TOTL,69,1990
Canada,PUBS.TOTL,1481,1990
United States,PUBS.TOTL,8096,1990
